date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
20160101,6.0,0.0,13.0,11.3,5.6,1.3,2.8,101690.0,0.0
20160102,8.0,0.0,13.0,9.7,6.8,2.2,5.6,99810.0,0.0
20160103,6.0,0.0,13.0,10.9,7.3,4.9,7.2,99180.0,0.0
20160104,4.0,3.2,36.0,10.1,8.3,5.7,0.4,98280.0,0.0
20160105,6.0,2.1,30.0,9.2,7.6,5.1,0.4,98470.0,0.0
20160106,7.0,0.0,13.0,10.8,7.0,4.8,8.6,99420.0,0.0
20160107,5.0,1.7,28.0,9.5,7.8,4.9,1.4,98890.0,0.0
20160108,4.0,2.1,31.0,10.9,5.0,0.5,0.8,99930.0,0.0
20160109,7.0,0.0,14.0,9.1,8.2,5.6,11.0,99040.0,0.0
20160110,4.0,2.9,36.0,7.2,7.2,5.2,12.4,98500.0,0.0
20160111,7.0,0.3,18.0,7.4,6.0,4.8,0.2,98290.0,0.0
20160112,4.0,1.3,27.0,7.1,5.2,3.0,0.6,99770.0,0.0
20160113,6.0,2.1,32.0,5.5,4.6,2.0,3.0,101310.0,0.0
20160114,4.0,1.1,26.0,5.9,3.8,2.0,0.2,100710.0,0.0
20160115,2.0,5.5,52.0,5.2,3.4,0.9,0.0,102020.0,0.0
20160116,3.0,4.7,48.0,4.5,1.8,-1.6,3.6,102880.0,0.0
20160117,8.0,0.0,15.0,5.4,1.7,-1.1,0.2,102550.0,0.0
20160118,6.0,0.0,15.0,5.3,3.2,0.9,0.0,101500.0,0.0
20160119,3.0,5.5,54.0,7.0,1.3,-2.7,0.0,101710.0,0.0
20160120,0.0,6.7,61.0,8.0,1.2,-4.5,0.0,102050.0,0.0
20160121,5.0,1.7,33.0,11.2,2.6,-2.9,0.6,102130.0,0.0
20160122,5.0,0.3,21.0,12.2,6.8,2.3,2.0,101760.0,0.0
20160123,5.0,0.2,20.0,15.3,8.2,4.2,1.0,102880.0,0.0
20160124,8.0,1.4,32.0,13.5,10.6,5.9,0.0,102630.0,0.0
20160125,3.0,2.4,40.0,12.8,11.6,9.6,0.0,102050.0,0.0
20160126,6.0,0.0,17.0,13.3,9.0,5.3,3.8,101650.0,0.0
20160127,8.0,0.0,18.0,11.5,11.3,9.3,2.2,100900.0,0.0
20160128,3.0,6.0,64.0,12.2,6.8,2.0,0.0,102310.0,0.0
20160129,8.0,0.0,18.0,8.1,7.6,3.1,5.6,101740.0,0.0
20160130,6.0,3.5,51.0,13.4,7.7,7.3,0.4,101000.0,0.0
20160131,8.0,0.1,22.0,14.3,8.6,3.9,0.8,100930.0,0.0
20160201,7.0,0.1,22.0,10.1,10.2,6.2,0.0,101500.0,0.0
20160202,4.0,5.3,65.0,9.7,9.0,8.0,0.2,101530.0,0.0
20160203,4.0,1.3,37.0,14.2,5.9,2.1,0.0,102210.0,0.0
20160204,6.0,1.1,35.0,11.5,8.8,3.3,0.2,102510.0,0.0
20160205,8.0,0.0,21.0,12.6,10.2,8.9,1.0,101840.0,0.0
20160206,8.0,0.0,21.0,10.5,10.9,9.2,6.8,99800.0,0.0
20160207,5.0,4.3,63.0,9.6,7.7,4.9,14.4,99200.0,0.0
20160208,7.0,1.3,40.0,8.2,7.8,6.1,1.8,98700.0,0.0
20160209,5.0,3.1,56.0,8.8,5.2,2.3,1.0,98870.0,0.0
20160210,5.0,0.9,37.0,9.0,6.1,3.4,0.0,99690.0,0.0
20160211,3.0,7.5,88.0,7.0,4.0,-1.1,0.2,100390.0,0.0
20160212,6.0,1.1,40.0,5.1,3.7,0.4,0.2,99580.0,0.0
20160213,7.0,0.0,24.0,6.6,3.7,2.3,3.8,98720.0,0.0
20160214,5.0,3.5,64.0,6.9,4.1,1.6,0.0,99700.0,0.0
20160215,2.0,6.7,88.0,7.8,3.5,0.1,0.0,102490.0,0.0
20160216,1.0,8.3,100.0,6.6,2.2,-3.3,0.0,103380.0,0.0
20160217,6.0,0.0,26.0,8.4,3.6,0.5,9.0,101700.0,0.0
20160218,4.0,5.5,83.0,10.5,5.8,3.3,0.2,101420.0,0.0
20160219,4.0,5.7,86.0,12.6,4.6,-1.3,0.2,101580.0,0.0
20160220,7.0,0.2,33.0,14.8,7.8,3.0,2.2,100930.0,0.0
20160221,8.0,0.2,33.0,9.8,12.4,10.0,2.0,101020.0,0.0
20160222,8.0,0.8,43.0,9.1,9.0,8.3,0.2,100930.0,0.0
20160223,4.0,5.7,91.0,8.3,5.6,2.1,0.0,101710.0,0.0
20160224,2.0,7.2,104.0,7.0,3.3,-1.7,0.0,101820.0,0.0
20160225,4.0,4.1,80.0,8.7,2.6,-1.8,0.0,101680.0,0.0
20160226,7.0,3.1,72.0,6.1,4.4,0.2,0.0,101030.0,0.0
20160227,7.0,0.8,47.0,8.3,4.5,2.9,0.0,101080.0,0.0
20160228,6.0,1.8,60.0,9.3,5.4,2.6,0.0,102110.0,0.0
20160229,3.0,7.2,111.0,13.1,4.9,0.5,0.4,102650.0,0.0
20160301,8.0,0.3,44.0,7.6,8.7,4.3,6.4,101140.0,0.0
20160302,6.0,2.4,76.0,9.2,5.6,3.6,3.8,99950.0,0.0
20160303,6.0,6.9,124.0,8.2,6.2,3.1,2.2,100330.0,0.0
20160304,3.0,8.3,138.0,6.7,4.8,1.4,0.0,99160.0,0.0
20160305,4.0,0.1,42.0,6.4,2.9,-0.9,0.6,100010.0,0.0
20160306,5.0,2.5,82.0,7.9,3.5,0.6,0.0,100580.0,0.0
20160307,5.0,6.7,129.0,9.4,4.0,0.1,0.0,100970.0,0.0
20160308,6.0,0.1,44.0,11.0,3.9,-1.6,12.6,101330.0,0.0
20160309,8.0,0.7,58.0,9.4,6.4,1.7,8.6,99650.0,0.0
20160310,7.0,0.1,45.0,11.4,7.4,5.3,0.2,101920.0,0.0
20160311,1.0,6.9,137.0,11.1,5.6,-0.3,0.0,102830.0,0.0
20160312,5.0,4.7,115.0,11.4,6.2,1.2,0.0,103090.0,0.0
20160313,3.0,7.3,144.0,11.7,7.2,3.0,0.0,103450.0,0.0
20160314,4.0,8.6,159.0,9.0,7.6,3.6,0.0,103280.0,0.0
20160315,5.0,1.1,70.0,10.2,5.5,2.0,0.0,103030.0,0.0
20160316,7.0,4.1,114.0,11.9,8.4,6.5,0.0,102960.0,0.0
20160317,0.0,10.2,180.0,7.6,6.8,1.8,0.0,103010.0,0.0
20160318,7.0,0.0,46.0,9.0,4.6,1.5,0.0,102700.0,0.0
20160319,8.0,0.0,46.0,10.9,6.7,4.4,0.0,102640.0,0.0
20160320,7.0,1.4,80.0,12.2,8.0,5.0,0.0,102510.0,0.0
20160321,7.0,0.8,70.0,13.9,9.0,5.7,0.0,102320.0,0.0
20160322,2.0,9.6,183.0,10.4,7.6,1.2,0.0,101810.0,0.0
20160323,8.0,0.0,49.0,11.4,8.3,6.2,0.0,101680.0,0.0
20160324,8.0,0.0,49.0,15.1,8.2,5.0,8.0,101330.0,0.0
20160325,4.0,9.6,189.0,13.9,11.2,7.4,0.0,101350.0,0.0
20160326,7.0,0.0,51.0,11.2,9.8,5.8,4.6,100450.0,0.0
20160327,6.0,4.7,136.0,12.9,8.4,5.5,19.2,99940.0,0.0
20160328,7.0,5.1,142.0,12.7,8.3,3.7,1.4,98850.0,0.0
20160329,4.0,5.7,151.0,12.9,8.6,4.4,5.2,100270.0,0.0
20160330,4.0,8.8,189.0,12.8,8.8,4.6,0.0,100820.0,0.0
20160331,4.0,6.6,165.0,13.1,8.6,4.5,0.0,101560.0,0.0
20160401,3.0,7.1,173.0,14.5,7.0,0.9,0.0,101910.0,0.0
20160402,6.0,7.6,180.0,15.5,11.2,8.0,3.2,101210.0,0.0
20160403,6.0,5.0,149.0,13.2,11.4,7.3,0.6,100520.0,0.0
20160404,7.0,3.2,125.0,15.5,11.0,8.8,0.2,100230.0,0.0
20160405,4.0,8.9,200.0,12.8,11.2,7.0,0.4,100740.0,0.0
20160406,4.0,4.7,149.0,11.9,9.1,5.4,0.6,100750.0,0.0
20160407,6.0,1.5,99.0,14.1,8.1,4.3,6.6,100930.0,0.0
20160408,6.0,2.9,124.0,11.6,9.0,4.0,1.8,101120.0,0.0
20160409,6.0,2.4,117.0,13.3,9.0,6.3,0.0,100340.0,0.0
20160410,3.0,9.4,214.0,14.3,7.0,0.7,1.2,100730.0,0.0
20160411,7.0,1.0,92.0,17.4,11.6,8.8,3.0,100580.0,0.0
20160412,5.0,7.6,195.0,18.6,12.2,7.1,0.0,100670.0,0.0
20160413,3.0,7.9,201.0,16.9,11.2,3.8,0.4,100830.0,0.0
20160414,6.0,5.3,167.0,13.4,12.4,7.8,2.8,100910.0,0.0
20160415,8.0,0.5,82.0,9.5,11.1,8.8,16.4,100070.0,0.0
20160416,6.0,1.4,104.0,12.0,7.1,4.7,0.2,100460.0,0.0
20160417,2.0,9.4,225.0,13.0,6.2,0.3,0.0,101600.0,0.0
20160418,6.0,3.7,147.0,15.9,8.0,3.0,0.0,102230.0,0.0
20160419,4.0,8.4,215.0,14.8,12.4,8.8,0.0,102810.0,0.0
20160420,0.0,13.0,272.0,17.0,9.6,4.5,0.0,102960.0,0.0
20160421,6.0,4.3,160.0,11.3,11.4,5.9,0.0,102380.0,0.0
20160422,8.0,0.0,67.0,11.2,9.7,8.1,5.8,102140.0,0.0
20160423,5.0,7.4,207.0,10.3,7.5,3.8,0.2,102070.0,0.0
20160424,7.0,2.9,140.0,12.1,6.7,3.1,0.0,102010.0,0.0
20160425,8.0,1.5,113.0,10.6,8.8,5.5,0.8,101070.0,0.0
20160426,4.0,8.3,223.0,11.7,6.6,2.6,0.2,100840.0,0.0
20160427,4.0,8.7,229.0,12.6,6.5,1.3,0.0,101230.0,0.0
20160428,4.0,8.2,224.0,12.2,6.4,0.1,1.4,101300.0,0.0
20160429,4.0,7.7,218.0,14.3,8.4,4.7,1.2,101090.0,0.0
20160430,2.0,10.1,251.0,16.5,7.8,1.4,0.2,102160.0,0.0
20160501,3.0,11.1,265.0,18.4,9.2,2.0,0.0,102750.0,0.0
20160502,7.0,1.7,123.0,15.7,14.2,9.9,0.4,102080.0,0.0
20160503,3.0,8.5,234.0,17.4,10.0,4.2,0.0,102560.0,0.0
20160504,0.0,13.7,301.0,20.7,10.6,3.9,0.0,102630.0,0.0
20160505,1.0,13.1,295.0,23.5,13.3,5.9,0.0,101990.0,0.0
20160506,2.0,10.4,262.0,23.9,15.8,8.2,0.0,101070.0,0.0
20160507,6.0,6.3,206.0,26.8,18.4,12.8,0.0,100670.0,0.0
20160508,1.0,13.3,301.0,24.9,20.0,13.3,0.0,100700.0,0.0
20160509,5.0,4.7,183.0,17.2,19.7,14.5,3.6,100800.0,0.0
20160510,8.0,0.0,75.0,18.9,16.2,15.2,27.0,100610.0,0.0
20160511,7.0,1.6,126.0,24.3,16.8,14.7,5.2,100330.0,0.0
20160512,3.0,11.6,284.0,17.7,18.1,11.9,0.0,100240.0,0.0
20160513,6.0,7.7,232.0,14.6,14.4,11.2,0.0,101050.0,0.0
20160514,5.0,7.2,225.0,17.4,11.1,7.6,0.0,102010.0,0.0
